[1, '34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo', '299427']
[5108, '3JAahL1PZqgWhyW6W1rfDXqRq14g4Aov6F', '425']
[5109, '1ARuNfausfhQmq9QFBp3NdMNrcAuPUZdL1', '424.85']
[5110, '32vNfoZemXVp4Duzb5ieqpwmTg715MpurA', '424.64']
[5111, '3CwQzXuGUtifQsrzvJ7SU4AdDyBXeV3fKC', '424.60']
[5112, '1D7N7iTESuQMGMe3aoaGyfYBhwW4974fFe', '424.59']
[5113, '13AEx3ZLrmTMCGY2R8xKwVCrsrdd8vLepn', '424.44']
[5114, '18GpNNt97pcgae8nNjU71ArhFRwxLNtY3c', '424.25']
[5115, '36zXQ7EDbGsiDoPJ5b1u7jTjoU9Mc2GZFq', '424.15']
[5116, '3DdGHgBG6zuUwEUT7Mzgcy4XjMRxgLJiaj', '424.11']
[5117, '1EBH8XsoeZFBqz7mFdHpzhgKFF8cCQr8PL', '423.84']
[5118, '1GAqjUvHkpKmjEvUpE7qz97tmn7gwZXAd5', '423.70']
[5119, '1EpdUFmrq5eyiXZxXxbka5JLgaR1uxPnom', '423.32']
[5120, '1PVgNiKcqXGs7DVxSE2zZE9kKu3GLGL3uv', '423.25']
[5121, '19Nbxgf9Xvsy6pWThr1beN6V4Yb5FVMnwK', '423.16']
[5122, '1ACFyXZEi24MCHXauHJMANkWc4AtyDeafo', '423.00']
[5123, '16UQ8g3PfT8x2p38NKReRHR12WUVLipQNc', '422.80']
[5124, '3AtCRuuFX5cUjcsWaQSpJ2wsYy5NnHJdap', '422.00']
[5125, '1DRFrWzpYMDTu4Mz4ZA5rurr2eupPjYpkj', '422.00']
[5126, '3MLEfgKKjrf7NbJg1tNUfpfc4BQHa48zyV', '421.49']
[5127, '15QLjtZFh3Er5H2w68mutLwBJ7vgumH89K', '421.28']
[5128, '1L2Hs7k3vgFmHopnUxKuVyfr5dKTe3oTqq', '421.17']
[5129, '16ATn9DDMwBGbuvg8cgiQk11y9UgsMq7RH', '420.92']
[5130, '17oPaLHiLBA1qqf3M82WpjGiysMRx8Amdo', '420.70']
[5131, '3ADfX5WD1x7zR7RVbvcdpGR3BHggtDAacS', '420.29']
[5132, '1HTHohYgq31a7A8mjtJhABTcuFXkh2AR8o', '420.15']
[5133, '17jABe8AoK8Ktsy1hJx6GsJG8ah9fyTqL1', '420.00']
[5134, '1P733FnG3Zbk3ZyoqDrFkssLQGcdGfaqEv', '420.00']
[5135, '1EuZX7YmuK95gMVXLdXAQMwkE6ZqU9p9fz', '420.00']
[5136, '1CoYHPiwmPTrpPRehPgaQyZzPFvPkPM6Jo', '420.00']
[5137, '1EJYC1e3EPVQdi41uYgcK9j9G8HjPxcDFv', '420.00']
[5138, '1DEfMuUGRhvoQE7cxgds3nYjRZzzhfJ9jc', '420.00']
[5139, '3Bwrky6CRvu7HsiRNoyw884Cp8PB5CsES7', '420.00']
[5140, '37MFbYGoqChRHAGaqZqUjC9rFFKkPTRMFA', '420']
[5141, '13XSMWqrcQbLxC8i6udrNBjvPJghWQ9AcQ', '419.61']
[5142, '38c4hVHdqGAp47pLoBk4uzxZ4NiEZnDwiW', '419.53']
[5143, '3PFhiYQukNoGYZWRosJpTBMvi32CrX6Urm', '419.51']
[5144, '39gP5X3H7HcRnPsyvU19uapZxwRNtSTNSy', '419.25']
[5145, '38n78GLGuWTXWuGx2YmHHHbR2717rrXCSi', '419.01']
[5146, '17qkYUgWxpfsraD3phoSS1ACqBJaHovh5g', '418.96']
[5147, '3QaEKChJgWo5RGRBwp2fCwj5yfddTNSBc9', '418.76']
[5148, '1EWNxGwjJqG9ntk6F2mzi8Bf78JESYyDnr', '418.70']
[5149, 'bc1qnhfjgnu3httxwntu450zs4z5zf7j69y68pyv2v0f2j54sz8s77jssm6apd', '418.69']
[5150, '1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ', '418.57']
[5151, 'bc1qjfl5mtdescp50qduek6c4ngyglskxww5lfe0za', '418.51']
[5152, 'bc1q0q0t0frhp24039xudr7jnu90tjq08kgav2q8ph', '418.06']
[5153, '391Pu8GTBuYNoBewK47vPb9jnbuf6Ei5K4', '417.94']
[5154, '1Q59UHnN8efh4HADhzsTXSw8DHqRvJUSxx', '417.68']
[5155, '32nQFRcfWZSQdCLg71zqpt7GQEDHHd2QCn', '417.57']
[5156, '1Gx7DKEdaF68LMWWWGL1PB3EboVt7mtmst', '417.42']
[5157, '1LvRpQ9bkADXqfjL7Uc7VfoydFVAE39erF', '417.40']
[5158, '15iLMRe98uzhUh3qG6UBsAAEQLNmugJegB', '417.05']
[5159, '1MgUx975ZrQmDau2EVBBCKiqM5HMDHLw6q', '417.05']
[5160, '12hQzY26FWtXXFCzz5XMT6iDKT3Eo32sYo', '416.80']
[5161, '15Rhg4AMbiwqj91t2YBkWcSx26E7qTgfTU', '415.90']
[5162, '1HiB92BRmJbEBZsmoy4jKAWeDs1YT1jybZ', '415.90']
[5163, '33fwPZed3a5QwL94YZhZV1xjhDtQP3K1ve', '415.70']
[5164, '1FoHE3MGD2wiVhbwSaamVSfAiUqt4wcfA2', '415.64']
[5165, '1JNi5PyJr3wWfzhrzGR21kuL9Xn3bSHvd1', '415.58']
[5166, '1iNR6G23K9gqehxSzvMLaLWnXUAxUsN99', '415.44']
[5167, '19T9ZRS8gS9HhAUiGs4aaq2p17JhZAXzdc', '415.20']
[5168, '1HZjF6ExsWUqxexxbdAyWbapArB1jgUwLN', '414.82']
[5169, '37LSETgD761QUeTnh3k4p6jCiL9DEnqQxD', '414.79']
[5170, '1FM8egWYF5Ucpy4PZrNj9Cmde6W2vgZouY', '414.33']
[5171, '1HZmZjVzjFigRi2NtvWftNu12uMfMLey3b', '414.01']
[5172, '35pAx8iGF2C4hX9a3Myt9ArPBfUHF7arK5', '414.01']
[5173, '33PCTxQYFzmbdxyTua7drJsq462MkSVS1N', '414.00']
[5174, 'bc1qwc48eg5l7pyz3ulncxacpkmxdk2y6seu6hcl37', '413.60']
[5175, '3D72db1KMCnj7FL7MBsmxTw81z2bVu4UN5', '413.37']
[5176, '12bHHpU1LBxuDwQRZswh2bMmWqtGM8bTut', '412.57']
[5177, '1PvExXTCN3GrrvMnYkQrDeKVVazyakQrJu', '412.50']
[5178, '3L3QRkd7giSHjWzwdhJg9Ry8wthLnYpnV9', '412.24']
[5179, '1HxZyCgfcfe8HVVv6nLDYdEHE3eZv56ZjZ', '412.21']
[5180, '1MMXRAo6CZQ5KuLkboQ3tULhZZtj3ovmjT', '412.12']
[5181, '1NbjkdT4Z6SsrgiHYmbr5DLoT2ZQLPB81Q', '411.74']
[5182, '3PiLLBPHBtrTiVeJdQf2NvzxhcdWfHouut', '411.72']
[5183, '3BtChKToSzfLqPhAE3XwX6eh8snGRdYFNi', '411.59']
[5184, '13Coop8xFbYj9JR9WyF5EqzGa9GiZmxs7C', '411.45']
[5185, '12ZJwjvH3qMptXy8Myf5S7B9UL4aNSn2kn', '411.00']
[5186, '3KdcGsyrnDviiACt51tfwVVjcP3TrsxsrK', '410.93']
[5187, 'bc1qmzkmuuq8knewku7q2e53t26ed9r4j7wgle5fu9', '410.80']
[5188, '36auYpFk8c9yGmre2wUK9w1URffS3puZRz', '410.63']
[5189, 'bc1q562cjxwpnjfl5ehpddhyxck69vxs45p966de5u', '410.59']
[5190, '3BZJZP6Gu3zdx9bnVQtd8UwNmti9LKUqDb', '410.51']
[5191, '1E2tKutAWLWtBSwrH2T8XGr1ZjDqrQ6SdN', '410.50']
[5192, '1GqMt2eQn9sqMTPdgjcjWDBKynS3b9H529', '410.31']
[5193, '19pktnpxoNSNqsYyABkfTsEHSe9v6uReop', '410.19']
[5194, '3ALNnMq8ku2La1vRK37oEsXRqeWnykV9TS', '410.02']
[5195, '1CCWwWwzX85GBYHTX55dy5grgTvhhpaMYb', '410.01']
[5196, '1QLWSjQPZYQ5BFBpsc58SCy9RwX8evj71', '410.00']
[5197, '1GnXMvhetHxNHy377YWPmHdSaKjfExvTJh', '410.00']
[5198, '15GBr2GhfZ672VQcs7SSGxLg38ujVnst2c', '410.00']
[5199, '35pJ3AQfWVrzGxYyiQQ2fr99jSnT4gZiPB', '410.00']
[5200, '134Q4qjdLQAbFYDqvCkEW93oAyWqC1YsBS', '410.00']
[5201, '1645D398N2ouc5z3sTiwG6fteQz7FqYhns', '410.00']
[5202, '14TqEK1FAxhRNQyP3BdTqL9ntHc4MqsK8m', '410.00']
[5203, '17mBDHzoSV3u3bCWRoaWyWhnj88UYhDPm7', '409.99']
[5204, '35gg1f4t6KgBdUXtqXP9gQREDAUVtWbNnG', '409.77']
[5205, 'bc1qutnum6qpv4wngwfggnfe39kzdy4w6tyt26u2nm', '409.40']
[5206, '17Y69L3brgoyuiYyjGMibPfKxMN4o16yvF', '409.39']
[5207, '3BMEXqoU5a3pF38zkCUakvG31CRhoWCMpR', '408.77']
[5208, '1LwUqGy3ZytAsHD7jj85rLae7rwFqVS6R2', '408.72']
[5209, '1BjKK649HTHagLGdDEvXHfz8jW71YryRLG', '408.71']
[5210, '13i9hHi8cNxG1ejKjH51j4zXTqWXkAKptw', '408.57']
[5211, 'bc1q4fquny8fvgwyn223hn9pnqy0q6kj2x0avywlcd', '408.33']
[5212, '38ufobhyZNDgPKdeiPNCtoURcjPBKZQ3Ys', '408.05']
[5213, '329cJG2EAVdWZvLoRpDHbeeggQhDPvSPRS', '407.89']
[5214, '1HXHjuj6fMqdFBZkbfgm924mDCrAKHR6e5', '407.75']
[5215, '1PLQWaQ7kApEURJM5Vc25TGYT316WWkntV', '407.62']
[5216, '1f3ngXYTLVWwtDC6uLBGqsZazXwgoom2j', '407.34']
[5217, '3NVVq7H1v9gQN86jyXLhQ5jbCPkwDhXdp5', '407.32']
[5218, '1F2JAHGaw72bBfH41VgtponooQQ4Z98Hqm', '407.29']
[5219, '16BunGa99vUf1VqdKdJyVU4C7Wp3a69YHs', '407.27']
[5220, '135HuiSvVgJSPA55eEsKWYv4YF19QAS6QL', '407.00']
[5221, '1GvpDyPkDUxDBdJ69LGn3Ut99pfrAXtktJ', '407.00']
[5222, '3JoyPfXehyMYF8rrgwZTWkm3esFq2es3bM', '406.73']
[5223, '1GbQE34Ejh1XjWHkmXq6pftThmnTXJX9Zf', '406.50']
[5224, '1J7W1cTmhRYnaNbcW4VjMgWiwYK1RTYvNM', '406.45']
[5225, '35vD7iwApt39K8hsqF8vRJPYmNqn3kzdqW', '406.33']
[5226, '16Cpk9Dw1t58NYLZh8EQp9u9HkQgD7Kk3y', '406.03']
[5227, '18btZF47AXDbdnWjTssFkyf6mE175Do4Hd', '405.97']
[5228, 'bc1qplzdh54jzpc93n95pm0zsmkzxusug4336lgg34', '405.82']
[5229, '1YQBiPyYD2Qh6wJK1y7E88pgUJN9RRHVR', '405.49']
[5230, '3BMEXy5ado6CyLEvjA23sUmcPMhnYhxGpG', '405.17']
[5231, 'bc1qr79la43hpujqwnlh530wfm6n2kzv04kuj7hs2m', '405.12']
[5232, '1An4jHFsSz31TjW49vsZtCt2SXKV7oHRWb', '405.00']
[5233, '1EEqRvnS7XqMoXDcaGL7bLS3hzZi1qUZm1', '405.00']
[5234, '1FxXHQTfJJRRyDsEGUqsabfrksovF3JydW', '404.89']
[5235, '1N3dwNTnxDY2mSJTvU3vEGbPGUqPM2W5yx', '404.06']
[5236, '3HgbAMmqnVxvbgR6RyPkpeeKunidDT6Trb', '404.00']
[5237, '3Q2eseiDzqLgaeiCuBHxgXUJKT7M9JedUy', '404']
[5238, '33fmrtAAByo68xFTzjp6YJHa2Ru4hLd9fT', '404.00']
[5239, '1EPctZ9KunpDzFpLV7NPwjzr86T8W4X6jk', '403.98']
[5240, 'bc1qh06ywah57uwte9u9rew55tkgrlg5r478ejc46qwucsewkm3pztkqs80hak', '403.97']
[5241, '1HczBp8QMwat3QaHtLV7Us4VtmycpaXh7o', '403.89']
[5242, '1M1RdciqSA93SAtPHbXXoLU7FfmiAKRrRZ', '403.81']
[5243, 'bc1qpvgcmf95qq7ue4g6wqtaf26rlqs9g4kagc63fg', '403.73']
[5244, '36Q9PZMuyNXxESzNeFWG62QsjuisndfZ1k', '403.70']
[5245, 'bc1qn953ucf6rk8zzr3pxh8phk689dn6adn8m89pta', '403.59']
[5246, '13sMEFHwrhaUBAgypraDXUSz6co13TAwp5', '403.25']
[5247, '18CGe6sNrHVJrEUZvoUkrenrVeEDD7WhyY', '403.00']
[5248, '1NA4jeV8itFWMBkZQmh2qEYTZnXyEM1eZQ', '402.50']
[5249, '19BLKKyRcjx4k8N8FXwJx1ZTkUafP7KThL', '402.05']
[5250, '196PmqsNahw3EpG6b6W5o9Sxgx1L15KyXW', '402.05']
[5251, '3QzoZhHy9NdTP89SvTqLJ23ftNYwe5rNbs', '402.00']
[5252, '1LE3neZtpLHQtKLxPpAevK5TjW4tcZzUzY', '401.77']
[5253, '12o4SZXzar2suNv7mwKHnWPnH4Pa8SbB4K', '401.21']
[5254, '1P4eJob8JFbT39YpFx4L3M8ijFraeMLdik', '401.16']
[5255, '1C8sd2k3mjZzWGh8LFgkyiNcSDto5oTich', '401.06']
[5256, '1NX57X7aUkThvx18iGzw9sezifqWHVkxbQ', '401.00']
[5257, '3Pqx4n91LpMQA4yS3tyXNbHnTxqWKcvDnS', '401.00']
[5258, '16woyzCd7jud4FaHFMQfsLFM2fKM6G9C9M', '401.00']
[5259, '379JGXwwMwBhfnvZMrHTHcJA92UV2BhcDx', '400.95']
[5260, '14nRhEhiG5mhbczAmdexDP4vodsYeAaHm7', '400.75']
[5261, '37KHTEjPi9vBSiHHC3HQq271VsovWDmN1z', '400.73']
[5262, '1Jfp1pUTCEJkBhRq7SEFfcy7sPTMk8mPdN', '400.68']
[5263, '32JcXLHTKg8PDRY18AsbKvJTkui5eUjE8h', '400.63']
[5264, '17t7ouQzXCmfhrtCrQUtRDDoNVF9nmwFvJ', '400.60']
[5265, '3Hyu2D3i1QsU3hetUpQrGkrMAV4bAuj3Av', '400.50']
[5266, 'bc1q49lr5dydke6vcqw6la08eygmszpd2hll6e08rd', '400.44']
[5267, '37wxuBZnZTvpjFATAvm8pA1CcKwsL8BPf1', '400.29']
[5268, '3EjVwx1KjHDwkd92P2b42LN8Wu8S7kVr1c', '400.18']
[5269, 'bc1qxp9smhyjk49aedx349d752pq3vhcpyrxgm7mq4', '400.12']
[5270, '17WbchKVtoBGWo7J7L4N4MYn3Vr986hP8j', '400.11']
[5271, 'bc1qscxk3d4mlrj9l90dns4hx77szysthssyudsa85', '400.10']
[5272, 'bc1q9sxzgg4edhu2swr83kszafsdjx0dxne3eax8r9', '400.09']
[5273, '18ysjpePpAozFeo7xQK6tfJ5Mu2GfLTQ9m', '400.09']
[5274, '1PKCKX3dBxBbVtPdNqUrb44C2ZHxcB8VVv', '400.08']
[5275, '1ArUGfCLfuopJpmvXJoE5aKfYFLpxzwaWT', '400.08']
[5276, '1Ey1MSfNSza6cfzcX5f5tHcmh3US8dzr2j', '400.08']
[5277, '1G3X24PiZuFBtxAGHnNn1sdT4kyCRQBLjZ', '400.05']
[5278, 'bc1qtdj6exxrrw54tj8e79qawx3s966rjng8xfx680', '400.04']
[5279, '1JA4MpuV8MMNYCDTFHdCQeXGyem7mqo4B4', '400.02']
[5280, '3LPc9oiWvZFB7EDp9qCnWZisaZUZuqTXik', '400.02']
[5281, '1CEc4qfTymYsR2Df2teMjcgpb4a22BjWfb', '400.01']
[5282, '3PwqVVcDi8d881uCpPhatBbKjhC6QEQu58', '400.01']
[5283, '34JxRzKwJDyW7ZgcmuJuieXdxPr8e4xKdu', '400.01']
[5284, '3DGz6yQzT2BzcG9eU89bZs5sZdbbLKfrYH', '400.01']
[5285, '39GGMg1426boPnagzV4p19XBtJRx7cTgxa', '400.01']
[5286, '1PUk3HsQc4FarBCXhwZNAWy6VouGvPHddW', '400.01']
[5287, '1Nnn7rc5NFKfxFckPp9g3iboD1bAPw52BR', '400.00']
[5288, '1GfRekUwfARCyxpkNyvME6pSrrNjRd3iSY', '400.00']
[5289, '1KuUWp7MM8HQK1YU8nSAD9SoLdr3R16CX3', '400.00']
[5290, '1HpbgheeZSNXrQXyvWKr8innGeCKvGjzZF', '400.00']
[5291, '1HoZcQd5QQYQdKoPAzjQgGorn6GTXNqGTN', '400.00']
[5292, '1N5cjyeraf4ftEaFid1pvrL3DoiGwTpyHn', '400.00']
[5293, '19N9isYLGHr8UhnFkyeigTnyZbvd13kFt8', '400.00']
[5294, '1BFcoc37sJLZVderQL4Gwo4UdMqGEqtu6p', '400.00']
[5295, '1PYMXhJMYveTXY3sHQEeA7answwqkR5qD5', '400.00']
[5296, '1KTnyA23T8VGaoktUQ5tPWyWNPCPBFrWT', '400.00']
[5297, '17RUD4R2mJdVE6tNFm9MavaijXPfJawKW1', '400.00']
[5298, '114Nivh7CUDz9X8u6def3ftXCXtDvpDvCN', '400.00']
[5299, '19cfWTZkfC37jW9DwNN1Sq1smk5qS52yY1', '400.00']
[5300, '1HRAkef9Wo82Wp1rDkizKsFLaEy9qD378W', '400.00']
[5301, '1CgkH88Z1GL1xZoen4SzELEQSkSe4MatU4', '400.00']
[5302, '155CZ9NBTkutjjg8JKXoN5wxuJtvnKWPpw', '400.00']
[5303, '12aFEkWrt8pX35iejuDr6x3UknNNqs8w1w', '400.00']
[5304, '1DqDcFYNGabT2MPZF9AToWgDPsgcEjabrG', '400.00']
[5305, '18qkWda6Stn4DV5JtFXZG72bep7sccdT5b', '400.00']
[5306, '12rMpw5HnEvAw3nQqLmRBCQyuktfpa4eVw', '400.00']
[5307, '18agMb1GEUSZ1Ne8cbYZWCLghgogso5b4v', '400.00']
[5308, '1GKreWoWtNbyDwDqL1vuNpLGdbiw2QEdBv', '400.00']
[5309, '1BVjk6fHPe46xkpVaAW2zJnWezw1Ag4sv1', '400.00']
[5310, '1MtiDVzfdwCAkcfscZ22pJophGqrZMpDv5', '400.00']
[5311, '15JeE4N7MgQBgKzPQMAEbv24S1w5zDiq19', '400.00']
[5312, '1S5ZndM7gGctSU2Jqh5NiVnBt9LZ16GDX', '400.00']
[5313, '1Dr9GsS6eWf6up8pX6N6y5jXpJsmfxwgGH', '400.00']
[5314, '15aG8eBdCW87354Yf64X6C8SAogazQJETW', '400.00']
[5315, '1PX3HJPxCTdmSYZiJC7SrdtMm6muFDY5tW', '400.00']
[5316, '19NBWfZniu18DbmneRcaGU3sZCrCvrZrRR', '400.00']
[5317, '1AEBAzDZk4x6YhDvAi9JrwP81M3ahuJuvm', '400.00']
[5318, '1EsbWuduacuwiB4RXtzbBHDbcbVi4NfcWz', '400.00']
[5319, '1G1PZDXdytEpYhudxyFMZtQxN2bkeoyvvL', '400.00']
[5320, '1ASYDG2jpyuqFW4reMd9R34LrxSqjDnsUy', '400.00']
[5321, '1LFRXSufJAiE9KocrEiz7qTjRoWawVJcur', '400.00']
[5322, '14e1REFQVKvhaUrEP9N2dfXqDpQouy8MoZ', '400.00']
[5323, '18QPDacrF5nFNBMj9SqnKcW3C1BZRPbPAw', '400.00']
[5324, '14jYSKV5qGTsABwwepPodFaVhqJDeCsnXN', '400.00']
[5325, '1FJ5vGBnDue4bbGQ2NyU6GEfZ6s67u9g9H', '400.00']
[5326, '15a4XZxUF41hKPuyuZnjGZngDCu5Rvsh99', '400.00']
[5327, '1KJEbwoGnbmyY2izxzAtoSXhKM5DF5zioV', '400.00']
[5328, '1CaaV66BEtpbpyxjuBeJzm7dekDdPDnPte', '400.00']
[5329, '18H25EcFMJ3cGHhs9AaZBaAj6VU32uNZVT', '400.00']
[5330, '1B6LbxUQyvDKBbVy42rVQ8TQr1yTEwDj1n', '400.00']
[5331, '1NSWBrLGt7vbu22U9eeMZACDSHq77HHAuC', '400.00']
[5332, '14p7wfDhgFcjMc72S67fsXpoLvpNNjNAyz', '400.00']
[5333, '1LBuYDV2kyXu3KGUByLBm3CuwzXvjm8PEV', '400.00']
[5334, 'bc1qczasymytll0333jw4smg79pjlatjg05c7cuwhm', '400.00']
[5335, '19d5gzY46fWp1kTEPVSFreYT7XDeArzP1c', '400.00']
[5336, '1KX4N9yiYx6xHNW3caAGh92FRqF5a4YECP', '400.00']
[5337, '143Kyz8friVc8TZBD7Dmcv2RAWzypAowgi', '400.00']
[5338, '12ZVZUbyHZsJUjDh5jN75NwXphu8g2yAfF', '400.00']
[5339, '15cPWjQmfvbS2tWxinX7Jb4VsSDJ6fn5wC', '400.00']
[5340, '1Mm8Dzm4GHT3JvfFMfMVdHSAucDKqYgd5S', '400.00']
[5341, '122jZHmPhFYf1iCe82hWCYTnGAKn8Xqs6e', '400.00']
[5342, '1PBGGeNT6tEwbR7ZhY4F8oanKHqQaZfRZU', '400.00']
[5343, '35t3GfLnBpyxMd72DkgiqbxSqLpXj6oZns', '400.00']
[5344, '3GvLrRcnXDj3qKPAwNYiGA8SGF8FR3STsF', '400.00']
[5345, '1LjFv1NfgS2ntjdC5VTbaAqo41TtFaUPuU', '400.00']
[5346, '33DnqA2gMNxh7sYLwLWzPX5QH1d2t4rnbM', '400.00']
[5347, '1PHLiP5DhRudZSCSFgMsgnnQ9KRB8Y1Qty', '400.00']
[5348, '3BPMG5gCb9Fvm6SFM7vqfDnbQUNoFpEpSP', '400.00']
[5349, '1N8x4YHpHDjpseGJyqtdXJL6f7LRdnoT6J', '400.00']
[5350, '332rd68GZ1AT2BFY5CnR6mBLxjXXbbnVNg', '400.00']
[5351, '14KAXgpNsD127wiMh7Ni93vN4pk1UdYBKM', '400.00']
[5352, '1EUm2iD6MPAmE2wuwXdyrqKJPnVGo6GYr3', '400.00']
[5353, '3BhU7wwvCtfehbNYyaKHtWfuBvRoV8Vm7x', '400.00']
[5354, '14jbdu1fAiBWtfyB9D5kbbZzd4PUXMa4tf', '400.00']
[5355, 'bc1qcyvx3x49rlvknekf4a2nmkne9pv87h0fyus4k8', '400.00']
[5356, '12kjuBdeo8QQanchCWvHe25Mu1SE6dUjLF', '400.00']
[5357, '35tAbdHUv7AxT9FNRGQfvNN3GktahR4KxB', '400.00']
[5358, '3GFcFxEnfgX3mANZns7UqwDG4dq5uvUnXN', '400.00']
[5359, '37br9PW9N4USTWnw3ERXUbRBAB8zHAKN1C', '400.00']
[5360, '18YSDrSEDEZXByf7dULscQrXjPxLtn4dSC', '400.00']
[5361, '31ix5UMVm4MuN1UwPwgp4A61dAZ55fsiuw', '400.00']
[5362, '37vbS8RooHWcjPEyTvAapUA18iFW1X4FLs', '400.00']
[5363, '3CozEipCJEsY9yDaLohEwkcLU7Kp2hqwfR', '400.00']
[5364, '16EuYQ33FNpmWYcNS7ZjxY7kXSYvPb6ygh', '400.00']
[5365, '1BTUDMY3tEMvHexmXe7QWmDVjSWjyisc1T', '400.00']
[5366, '1Piub2CNjehrg4346ZQiWHg7j7B4pBFgZ8', '400']
[5367, 'bc1qvgqmhk3guuf2xvz0datxlm08z8p53auw4zugkh', '400']
[5368, 'bc1qcp32zk8czk0lmpsffehfrs3jl9t0c5w5rdyen8', '400']
[5369, '322Sq4CfJc4gsgNXpdzmF3i2dDtmMnu8gQ', '400']
[5370, '38tJgp6dAsLygcrVXXgLmE9MhvS28Awd7V', '400']
[5371, '3HUYdHDVQKqfmjQymWuCeABJkGZwdEgrXc', '400']
[5372, 'bc1qel99cjg7sk5yrl6nafwmuc3v3xr3efjna0xw82', '400']
[5373, '1VERF5rDyVoS4mPCbK68vSGpVo95cAXRm', '400']
[5374, '3JQYbpQtKFrXE2H9CPMn7FphJcAXDq5zeH', '400.00']
[5375, 'bc1qvt37cksd408g4dml65eckp3j8y8mgn8d22py6d', '400.00']
[5376, '3FV3sEQkXgp61qb8g16QUhwwZgkJB5ZgkU', '400.00']
[5377, '126CJRuNRMnSFRfSmgDmCDxF7Wo7CJ2Y66', '400.00']
[5378, '1C5ktASmCCk3Pxkv2eEWBeAverdD54XL7x', '400.00']
[5379, 'bc1qqd2wh4xr229al98792wfc0dqyhqmc7f0gtte0j', '400.00']
[5380, '1B1Bp3M2o12D596DMuTsW6ToJkKZTp6txk', '400.00']
[5381, '1NtMx7fBxn7kbQuA75i39ArznrJgzpnDRD', '400.00']
[5382, '3NHeuQitsKoEZ1Yx42a37xuL2FvcM7g5zE', '400.00']
[5383, '1EA2rekZxcLjQ3fNRubNnNz8sPs6TA98zd', '400.00']
[5384, '36KuDr9DimTBsQpvumm2DX8XBZL17S63Df', '400.00']
[5385, '1AHpGqkde5BXDemMYV7p9hVEX4WEMV7YZY', '400.00']
[5386, '1HEEKXuA8715Uo6UU8oWd6DXZJZDG2fpA', '400.00']
[5387, '19hoQppvc12U52ins1Mot1PPphNzKdgU3w', '400.00']
[5388, '3DHXT3gFWMBPT7VXZfHjdMBdkkmdn8dVpm', '400.00']
[5389, '1HBAm7jMvh5FAEUXWxbCPeuaV1k2TiEVRc', '400.00']
[5390, '3PF9QvHrk7Z4zf5S9XV1wkTSfNRm3nRHmN', '399.99']
[5391, '1JoVEbTi4YVx37m5k3aFaHZPuDTC8MjYDh', '399.99']
[5392, 'bc1qdd906twdzltm6u3dacg5vuvystcq3mt5pxa78k', '399.97']
[5393, '3FUQmPjzmHAZa6j4tEgRPfYpY9wR15Cmrf', '399.96']
[5394, 'bc1q7puw36mlyltmmhpl6ffl32pgydymy2pdr7um4w', '399.91']
[5395, '1GpAkvqwdzCQTMFGRMoCh15rVHNWv3AqSX', '399.90']
[5396, '38m98nJefaiz5K7LNZAeQS64hodUM5CeXY', '399.72']
[5397, '35KQJLenA1S7C8BxMtq8K1pUHndS9z9CTg', '399.54']
[5398, '3Ax41KuYzsQnuZanUa4UxCZH6gYYujh37e', '399.51']
[5399, '3Eg2sJxPqeEwte8C3T4JkV7HBrMztML1sw', '399.51']
[5400, '3PBeXsiFRjJrXuUJRDAbECY9jEh3sDsNqa', '399.47']
[5401, '3LGgtyWrMuZTUDd5DJozNzNNNhyvS7x5Xb', '399.42']
[5402, '1Noij6PJMxNTwhuxwyarS8KGuZTdnapoFf', '399.14']
[5403, '12xFYDbpJiqEfNAhYdhYPhuwwmzwVHhNXC', '399.10']
[5404, 'bc1qurxsw7u5emtng9fl244jg8ltxlmaexng9cj83p', '399.03']
[5405, '1689Vi1Y541Wqw8xzBCg3fzW9ELVwS1V2j', '399.00']
[5406, '35AiJDHv8uZbLd2T7ppmNiimXfULTxd45g', '399']
[5407, '3GF9qsDH4npGq8tj8c81ThQ6LfHYJQVxe5', '399']
[5408, '1qgVZqkwGoKQ9KyFAiCN6qFYR8KsAKqrV', '399']
[5409, '35b8n1DHvGidqcxYarKxuHxSUfNqq8dyVE', '399.00']
[5410, '3Eip3Ah8opjZHqCkF9Wa96T5HsoPtvCFSG', '399.00']
[5411, '1J5iGXaw78rAa8SkknaqQ8a92UK4HdhXCH', '398.84']
[5412, '14Z1uoiYf7Xzw2DS8kXx5Hz9MQDhHzVx9C', '398.64']
[5413, '3JwtF2xZm9YFJnkTdJVgZpaf8pG9aP4FMb', '398.61']
[5414, '1HQRjJ4VUEuvSFTKrKKkkm7RngFdqqPbby', '398.01']
[5415, '1NesBdFbi3eBdaJqcfCAjYbZh9AXUBYb1m', '397.67']
[5416, 'bc1q3lfu9xatzrw08g3vmx8pufvcqndqsmy0sc5j4s', '397.36']
[5417, '3E8HuQAjnLC5yaNnETUCZMgBatPNLusCrf', '397.20']
[5418, '1GEFNfcwZdwMhF123fXKfieivhua3VkcYn', '397.15']
[5419, '365FtrbYp2wEHxbknb5p5NHvhmwGUZbymD', '397.02']
[5420, '1MTMKVeNTPu5uvezyCoVkcqp85HKv44GAJ', '397.00']
[5421, '38xD8ZyTZBPDpC5xPVpYqMMnCi4kp5e8TJ', '397']
