[101, '167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg', '8999']
[4186, '3Ht1US9pTmq7iUmnQGTG32nSSXRqSLSe19', '530']
[4187, '1PHpCrNnA8QYUobaGiWg1ZYw4hr35CwXHz', '529.68']
[4188, '1C5HPJPKSrv1o1Lw67zAgBEV8mXyV23pgX', '529.50']
[4189, '3CAcoaJctt7koX4qESAZRmAsRqTexBBVKo', '529.41']
[4190, '37YDEmE8Rb2Amop9tm6or2WLrDEtbpv5jV', '529.31']
[4191, '18vbxr6EkDjyjKU3EjKrFk7tYtZzqJ7gTe', '529.22']
[4192, '39grmgzbHnJgw8kk684zWTkub6miVH8eMJ', '529.09']
[4193, '18AG9ES3TMaGDQbi3R9MzbnrD8M2p2D8bG', '528.94']
[4194, '1Pe4tWa5UCVGTuW6drdjDdCnARtRPAN7jp', '528.89']
[4195, '1JGnB5EePdMjHHQAkwVBV5VZ39zkuRLZ9', '528.87']
[4196, '15PoT3TjSnjTcWdkCuopPkzqN48gxwoEYf', '528.07']
[4197, '1QBHX5fgDgjJraTzP9vFLdDWuKRugzW6Mk', '528.00']
[4198, '1PAVYZq3QLzXpeudu9LuEZSucNp2AJLDx4', '527.84']
[4199, '194Wx1fHfqscz6JfAt9H8wRpXTUwfyXYU2', '527.60']
[4200, '1JGwfqPTJHgLH4jYeK1x2ERSJf74YT8WSb', '527.60']
[4201, '13mX2fZ1jyzLm4HRkQUofUv3ZSSatUQE2T', '527.60']
[4202, '1ALv7TiG5xGC2WrsYVdVhsqaPrSVgy4W14', '527.60']
[4203, '1Fecr5XAKmXJ8xX6qwrE7toSZx9X6nbj1J', '527.60']
[4204, '12Kfr7FK445ocL1QSsALXBiUe4N7V4R8aW', '527.60']
[4205, '1F3xAKjTvdVRVLFZQoLgqUNaxaz2vvZAmJ', '527.60']
[4206, '1Log7fvQvGP1nxxthZwUGzcW4NdppXjHsz', '527.60']
[4207, '1HPKKxuv1AmkqEBhrRY7HxQ9wfd6GPEamx', '527.50']
[4208, '3M9xX3piDMtRGuYV2EVRNqbYEsbvm9kYKs', '527.31']
[4209, '1GN9Uwi1ntAoBkQFq8FX9UvJcKyKt2fLj', '527.11']
[4210, '3CAK7a4ttQvBwycZ6x1cvgVUMw4Cho92xc', '526.83']
[4211, '3EfxF89mbRTusQ22KBURMNcu5Sz97TgjvY', '526.00']
[4212, '3FopasvikcLKTz2x96LqqT4ZxANkXN1H88', '525.77']
[4213, '3EmGCXnFpxtW1fWMQaVdpNVP9VCCGnJadc', '525.25']
[4214, '1PrSXhfLT6D2S9H8WXKhznAVD7TtFAPdyT', '525.01']
[4215, '3M1Fkrmro5mxiwk47FGkTvCqaifXizR7pL', '525.00']
[4216, '3JJehVtNBL57N4WAArWPCriJw5ihqZzuiv', '525.00']
[4217, '13tcvnxEBkGaU3wYh7Q8CrjoCRes2a2evs', '525.00']
[4218, '1L6SaezfoAyGGzkHUEvovziDPf4rZchMqq', '525.00']
[4219, '1P6ywwN1wb26jKuSDQHdGR8Jph49YsmAW', '525.00']
[4220, '38NcPpNE7D5t1Ldg56DsY7Cc71CbcJiTvV', '524.99']
[4221, '3Gvnv3EuVfU7VgwGULcysx9YGuEYazckEY', '524.96']
[4222, '1HfHNmzbozTWbJpgfCPXmhE5wJ8bBYNdaJ', '524.00']
[4223, '39ba4ygMvdBvSBHAqBwWXBKZ2kdeGAMArQ', '523.35']
[4224, '39AQHySQh6K5Zb4YG7XmZTNACn77dhgztz', '523.30']
[4225, '19azp5aXpdVYiBLUXGnL2n4x1CjJgVQDXV', '523.20']
[4226, '37xKVfR48KvBGHhmn2xjzUouiUuo7fQMEb', '522.99']
[4227, '3LpExEGoRGgxKWyC3fxCx972564v5gVSGp', '522.70']
[4228, 'bc1qa45e5894du20hpjmzy4sjnrg5u6dx744f0zhs4', '521.44']
[4229, '12LxQb7EHGvNAnT6QxNQTztdWpjrTFNKun', '521.06']
[4230, '3GApJLxkSFkJj2GqU7gpDWeUxo9sH9Y3tF', '521.00']
[4231, '3Auq4A3x1daUJyUKrGantPgupu3HwoutBW', '520.46']
[4232, '3CdSq9wMPW81YXJGdgQy93zoW1ujGsWETQ', '520.46']
[4233, '35vDvFLJMFAWPN9sRLdscj3KVeC9nQ7rsN', '520.46']
[4234, '3FSbqztSusC2aPnLHEdLcuZsmV1LngrftT', '520.46']
[4235, '1GzUm2U7s2fXEHjEgMUfg4P5X81VhNVQKv', '520.40']
[4236, '1MMdcKt86PDQwqTmJbt81NpDyTPcfWpEaF', '520.30']
[4237, '391ZrQjA7jCRTHWgjWXWoLYa2uiF75FtXX', '519.99']
[4238, '1LRHPN36YQufar8gH4au2evXLeD5ddPJwY', '519.70']
[4239, '3279PEQtL7GRydvNykCZGg33yDUEJEv5sQ', '519.21']
[4240, '1LQt5LCM8Tvr9Tzua8koC1CVwuJrSoDsd2', '519.15']
[4241, '1kVvgVpeizrTk3cZLx9n9DVAMFM1Yz23g', '519.00']
[4242, '1D6nQmJAB6DzrfNCXMCkS1brWFS6uTq7ah', '518.35']
[4243, '3BdtDBdx7oFwiWpEefCZJJskwchVH9cfLg', '518.25']
[4244, '19VVNekkNUsmfQBWHQe7qdzS46nuPiyzPS', '517.77']
[4245, '1K5BZ9opt8DtT4v8mnkKHB5dQudPc3EBDx', '517.26']
[4246, '3KetLPmh4j4CdTqy1evqvZdWufx3b2pRxH', '517.11']
[4247, '12NNxN8budWgecYEc5AvxKkpMVCQhcWuMr', '516.72']
[4248, '1BD35Rm8Q9tmbhNNCsdzyXf5dLHLqbVXNN', '516.47']
[4249, '37NxKa4PwKUGZs9D7vDKmmVPwRMULugyss', '516.07']
[4250, '35mfoF97ytoqMdNTJGcHvAYrHsFCird8zC', '516.00']
[4251, '1LDSEFMq5q7AQA8oVDv9ysigBrLmDMXVKs', '515.79']
[4252, '35ty8iaSbWsj4YVkoHzs9pZMze6dapeoZ8 2-of-3', '515.78']
[4253, '3CmbVdLm5BsAmTyZTe3DkJU7jisuXhcFJ7', '515.57']
[4254, '3G6QEfaYBh5soEPy5GZZ1fCsYYAqnLMvGZ', '515.45']
[4255, '3FpqNKF3dJ8hPX32bgUnRnqGyqqpxteCCo', '515.05']
[4256, '1MfVjbJSsvJRbvSaCYkyykszzskP39X9TU', '515.05']
[4257, '12VMDUAHBizfiKfrezcpZ2m69yNzPh3sEr', '514.88']
[4258, '17CVLmhVxi9LJscPprYhByWT4Y9vv1zQrs', '514.47']
[4259, '13n9WxvfwBqFqfRoUJEUAAGG2CRbKN9pzJ', '514.36']
[4260, '13oTycJRBJHtkfXKYuDXpWTKM6FZNzKwrh', '513.86']
[4261, '19MQCYwwNT2XiX5nVu4rQ1398wTYvhYXC2', '513.52']
[4262, '1JqZGLz4LKsy2ZoogUhvgzMgwvfhJY4adR', '513.33']
[4263, '39WaBZFbTF5UYMWypUR38fMXsvdc47x8cs', '513.21']
[4264, '3DgABCWVLkQZ7Rm15RFM473PPXS9XJ1yFB 2-of-3', '512.95']
[4265, '168KFYZcjQjcDBKdZ4frBPYsgxbrxpjYao', '512.79']
[4266, '174KwubvQVfFfvYRcUq2FaxQ1A6qRVy2cS', '512.00']
[4267, '149LtBjRf7SYUe4fhxseqhaTLbLRFsoeGr', '512.00']
[4268, '37a5RixoCfwhSemiR5xmuRwT936kPwGveh 2-of-2', '511.77']
[4269, '1KcPgZUpwNkVBkVJG5fKBLhjyv6PYXDsGY', '511.75']
[4270, '3Q2YLpF1LViKCUcjCzXE3GSaBDoarLEaM3', '511.57']
[4271, '1Jwzjwof732gygtjEokoDnHQzahXTAQzFw', '511.50']
[4272, '16bPzswg8oupshdQQK7oDT22sWbp5reN4B', '511.11']
[4273, '1P9HHbGui8d4SiY5peXnZ44gWjmfVoXDHE', '510.99']
[4274, '1358p4FvYw4LkvYm1GzNFDgD2vMNKNZR7i', '510.67']
[4275, '3Ld7xH6nHgTDpTvvkKC7CvpERRFAqbLy76', '510.57']
[4276, '31hJbLH82t3if8NEtVr2xUwChFPJqm4zdr', '510.46']
[4277, '1FfPqx6qWXA3wVDMRTP2m5CBUsw1bbBWzp', '510.34']
[4278, '161APS5Q49BdAJt6hzn6jYRhYYPcUAewuB', '510.16']
[4279, '14prx1RRjfFgjyoJFnisLqK739kAo5JGVF', '510.00']
[4280, '1DZLSQ9A1XqaMi4ceWTQEt56Vq5L2RQ5bV', '510.00']
[4281, '179Q4XBzZrgYxVpsCa9AfGnMAZF2o1LhNy', '510.00']
[4282, '3CKqL1Nwr5bxCTUMZqexfEeTocD967fq1t', '510.00']
[4283, '3KVfPVzRSdyx3V4xUv6eDYi4nWfGFoHhoU', '510.00']
[4284, '1FYMPad8fPrvfaWr1S9Rxd2obDnyKRHBAu', '509.93']
[4285, '3L8uKwojdZBoJiDyHhu7xEDtxxPC1rRgvA', '509.93']
[4286, '3265bfrg5VU9QLeN9H9AhNTLiMcH6iRh3j', '509.84']
[4287, '14oLhPHv5kXwGoKpJCcKi4xHTSPcXBiA8a', '509.67']
[4288, '1FyiwaNR1pX3D3sx9neUxobBxTSBA8ru8K', '509.36']
[4289, 'bc1q8yz8n65kqy25vkzs6t3nmfr6hnlw5k3zycjd77', '509.13']
[4290, '3LwEjua7Jtbh4oAkNzAuTutkh9VBCzqZDq', '509.05']
[4291, '3A6hdKqXMoi5SCHW7BrtrFiVP6V9rFZLE2', '508.70']
[4292, '1GktTxxtUpjmj3tiK8ujqqCXCpDonKv9e6', '508.69']
[4293, '1L1TSVswNXbYhXjbFwgSeM7STLPnvCL9ff', '507.86']
[4294, '12vDQMb624yLFKPbf18gc6wSnsMiNVJ4Xy', '507.81']
[4295, '1F6gKMuvRP4ijrP6pnR9AsUPrQ1UFTsh77', '507.47']
[4296, '1HaDCtJ5gebDEe3afoA7Xm5bCatWGcW4ah', '507.39']
[4297, '1LpL5wyCP1mWLbKp4oPVKpndw1LeRYQaXt', '507.27']
[4298, '12NEGGzm4jwgzUt9H4T2vAiFcNZi3UvZ7t', '506.37']
[4299, 'bc1qmex0764wf0gvlcsrwsfh68dm3pq4zja077rfgr9s39pf37l3a8ps7vqqyx', '506.30']
[4300, '1Ns8BBH9GDW7YeaJbJBQaSKwBJkscLVbkf', '506.00']
[4301, '3DirThCtrhfDLCz3W4bCmzaLY5yFa1k4Tr', '505.90']
[4302, '14w859hDgERuydcERZXTBZDdfnZeRuwPNe', '505.50']
[4303, '1FnDbLksZYLzSw61JAK9rZsa5eVEKf7AEa', '505.49']
[4304, '1NnBsmKJ7iURRWXBsFxHVZscGUnU8dMQS7', '505.25']
[4305, '1Nvk5rNNbMzYGihmn3xQKhyKeUCRevsAWh', '504.99']
[4306, '1LUj79xTek1ZxfU1gGNuMh8oEwdcNMEGsF', '504.40']
[4307, '38k7xsxpvjipdDQMyG3QhDYNZGbnkBMkrp', '504.38']
[4308, '125aAJJBUTg62VCbvSudgQen8ppL7KQ8XK', '504.29']
[4309, '3LbRJZ1iPqhHXKLSjLHPrxBxq7X5vL2yNk', '504.19']
[4310, '1M1LQcfvosaKvWTT2reERPoQqkTn9FeEEb', '504.00']
[4311, '19eFuQUH6brXTS27as28KvtPhz6sXYwypH', '503.99']
[4312, '3BvxBtZWXzB1MKuAZNEvkP7DxsFZ6XnLx1', '503.89']
[4313, '15n68gezgL7otykH5Tdy441B1yWhML2dY5', '503.69']
[4314, '1G52RFS522AZ39uQBwM4TaXV7J4FTWGjAu', '503.63']
[4315, '1B7qrs1R3ejJnA1HqE4gRCx5V4mxWDmpWY', '503.07']
[4316, '3MFHBYPaTFVE79cnAN1CtFmdJHhoFEQ2aw', '503.00']
[4317, '18pyo67aqJgyNKfJLt1rTBtc4U8kFxQcBg', '502.36']
[4318, '14XKsv8tT6tt8P8mfDQZgNF8wtN5erNu5D', '502.09']
[4319, '14zHdhjbE3Kyo9YjxDXA2cvnHeTSBtRqq5', '502.00']
[4320, '35e7yS4WLik6LswQ4eGuQjuH7YR5ytomXN', '501.90']
[4321, '1Hq1i8NeFo83RUm8zPzmFcnUhM7yg5bCss', '501.75']
[4322, 'bc1qx7jzvl832j0pzcsq7elus6c65mpc5fm2qsyjd45pyc906mxd7skq7m7u07', '501.20']
[4323, 'bc1ql9scvc9vv9fusmsfydp6k4vvm0289ra8mvdzvv', '501.01']
[4324, '3A2DgSZfke2UMTAb3HuQ9sQFtGbRFSiSLe', '501.00']
[4325, '3BCCCueqcj9KT88gto36BoWZqj4Wyqz6wM', '501.00']
[4326, '3NQ5sbU1P74Ek7k4PJZVPmRhHFAKyz8EKH', '501.00']
[4327, '1FQXi89obJCApBx3YzrRaRw8gysvvWCSrV', '501.00']
[4328, '32V3Qc2rrdxwoWi1QLpT5KB5xnVqqhFGRm', '501.00']
[4329, '1LL6dckYx5w96rs6fE9Ln9G5RMGqy4xTix', '501.00']
[4330, '1MU17kHciJEmrTtVQ9KQk7tYwEMsCvet73', '501.00']
[4331, '1GoqBEV8pTS8WJ3n5CpEyVUUMUBpUoHT9u', '501.00']
[4332, '17oujw8y6519ewmuQouLWNFT7TDKho3Uv7', '500.96']
[4333, '3GLSQEMtj4wZdpB32uyUwLjxMS1a9B8Dif', '500.83']
[4334, '3Kw88okcdUDoP5e7owBaibFTsad3sR9rkn', '500.75']
[4335, '3MefFWxt9BcKKsLRehpXr8xt3bUYC3Z3B4', '500.69']
[4336, '3Ly8K5mo3x74AUJLrzhJ17wYeKnRFqKuCU', '500.62']
[4337, '1EdDFrUCoURweheHrDWV5dKT8J9CTWMa6Y', '500.50']
[4338, '3C636LtMMLuWhY895Vjpw7CTTNktCR5amr', '500.30']
[4339, '17yRfnYgz6MwvX9J7tBQzhz8sf56dBEdEH', '500.29']
[4340, '1LGwS9MmjCPjkLBosiiSgkK75uMhGvkuw3', '500.25']
[4341, '1F7qh5uR36ReHZZGDNPxzjZsoRTKxAS8yJ', '500.24']
[4342, '1En7zxAgXYYTLAYHV5bsd1kzfxZn82cA4z', '500.21']
[4343, '132pbajaB9eM9zb9YaVkRFSRqW1K99JzKG', '500.20']
[4344, '1CK7Vmun5uZxT1i9YbMFhnUrLqRJ8KtQhD', '500.16']
[4345, '1GttTmwrJK7dF1qe5JdAzP9hmT9xHeCydA', '500.15']
[4346, '3JSMUfDtrT2YZ8xpymQdK4mYorcNrFnVhQ 4-of-6', '500.11']
[4347, '1M8rHiMrvSWFNwMxQHJTzHYVYowkZMxvb2', '500.11']
[4348, '15xNNMLhhdy56dD4U3rvwb5vqM9jW4VuaB', '500.10']
[4349, '1Ak4TzLZ4pgKYHpr5GontQgoDqwQunAK6c', '500.10']
[4350, '1QJt83Cb6S6Tm5chFwyn46XSBGYbS8unXB', '500.10']
[4351, '1NNND8vGkb8ekAFS8JuptanwJEokA397TA', '500.09']
[4352, 'bc1qpeml7cs75tmtcrkw79majqcg30yvfq86dap8c0', '500.09']
[4353, '14LZGm4p147mXSmPrx3oyVZsuncieMoCdP', '500.05']
[4354, '12NVt2HzEBjB2MVkonhe3BTgzLganxjj2v', '500.04']
[4355, '1PoVmgj72ikBRHBH1Hpwv9st2vFDj6rKu7', '500.02']
[4356, '3LgW6QX4nafGDQjAGPpTv54MMrXttuRjJ7', '500.02']
[4357, '3KEcZCpeJcjSoFRsbeorKsY2x6KLf8coCP', '500.01']
[4358, '1LUDXsAT6fQypinRbqVKatMiAbv6o9HjBc', '500.01']
[4359, 'bc1qc0y568vnpmzytgcvqqcnxfltnvn88pzqdtvz7r', '500.01']
[4360, '345WWhDU3y2Un4uZFdkK4vctLMFQBNzZsB', '500.01']
[4361, '1JaDuupVKxYCFv34ijDXhTbLP1ofVgn1qo', '500.01']
[4362, 'bc1q6e30px4ynasurtsf40vucvdfr6vpzgpwm3uyfz', '500.01']
[4363, '1JKbmYmK5FByqwBwT55N8sSTQBd4rR5wtA', '500.00']
[4364, '1P54qdsmJhkZcnPrJPcsdtkBpa6VYM4oSV', '500.00']
[4365, '3Akghp5rxX2ULrZZdEWYMM16FSMjf7c2VP', '500.00']
[4366, 'bc1qt0j0chlslw78mpext7jqvsmudfp2wyucl9m3z3', '500.00']
[4367, '1PxeCXMZBuXHt4CqWWEQ7Kwgdyob9P955L', '500.00']
[4368, '162pDsTzJnech2JmS4eGqynVWVweexkGUT', '500.00']
[4369, '1AEFS8s27coKMopmsPjeBeecEiVc74iXkM', '500.00']
[4370, '1MxF7EzXV2WeMkTJvRZhxdRSVy8bf1yQ4e', '500.00']
[4371, '1JuVNxe7oTvGpttztwgERGAWpggu7BPMew', '500.00']
[4372, '1J4q6vVo7BgMrEbCL2AxuCiJbRhCh5hEyE', '500.00']
[4373, '1DF2Q75TENW57pPmHhpvnBsgcPVpPqu1US', '500.00']
[4374, '1NxPnUoJ3HinAacVNRod3sTcBLvWt3hKGx', '500.00']
[4375, '1Fs8MajAhSnLkdhznPLfdWYbQZQgjdLTJC', '500.00']
[4376, '1FS5r5WHdgHcgCLW9AkTe5h4Rv7x9qYR68', '500.00']
[4377, '1KAA8GGhVjjUjVTz1HKAjCyGNzAKQd882j', '500.00']
[4378, '1KDYx1w862RFjhtVpWeuVuXg2QGNa3nwpg', '500.00']
[4379, '1KkiryzeX53BEPpFdEaLnNHFmoGo7JY4Us', '500.00']
[4380, '14x5C4NGhkTNMHeJ1uffyzLVX551ZrgXkm', '500.00']
[4381, '1Mp5TX53tPEhXAMDpp9Fop19Tn7i2gah13', '500.00']
[4382, '1FMn26mce15d5beTvv9hQ33VFhjLjegDoy', '500.00']
[4383, '1JkY68zAkMFmUb21K5i9M6Xnn8rRcqyUb5', '500.00']
[4384, '1PakTyZaPewVEKzxTeYyyKPDzpBLKyjo6L', '500.00']
[4385, '1HRdZeu1f1rAKjthqBsZyssMPfEHPVNpLY', '500.00']
[4386, '1Mn9C3SA6fq4MnnynzNk2mwS69q6UrjdR5', '500.00']
[4387, '14B4v8YREDYpzk9rb534YY2MmSpkG6pXBf', '500.00']
[4388, '1498SVMdZv3y5TdLnYkZdxYBsKjULL7L2j', '500.00']
[4389, '1ueNdfrexXhEiKsGR5rEnrk25D418uVrf', '500.00']
[4390, '12dcpdm8b3mUSarVMEo54XTVRgsdW3Jbq3', '500.00']
[4391, '1Ne8Ukc2S8qbiCWAAB7UYYuhfTNJ8f6axy', '500.00']
[4392, '12NiPXKveMZQsek1QYucYQqjTNQ1zvDGBu', '500.00']
[4393, '1FVmC8EMs5vT4MvBpvaYAf28DowraNFABg', '500.00']
[4394, '1JziGKvQELcgFGuosNM15451YfU39biG1W', '500.00']
[4395, '1JX8gptoG9KjEsUFY6jA554sSdtmnQyrrs', '500.00']
[4396, '1MeT7PoED355JxPADhqRAQmjd778BRksmS', '500.00']
[4397, '1PaJvUDUKm3Xr4FJJZS53ooNFFZXVZk3v', '500.00']
[4398, '1roetM6CJFWWGkDBPacPSez5BMQJT5YHC', '500.00']
[4399, '1Lmu87dsqbMC6viVUGDmrYGpBJWggmAK8y', '500.00']
[4400, '1yTRw4sbdhtE913uGVV3v6PkTUXMQ5ASF', '500.00']
[4401, '1PYP1TrfYicGXYdyh7SuyehoMfbgwmvssj', '500.00']
[4402, '1ELMcoZFxjfdE7WwKKfvm159UnSLr6KmUv', '500.00']
[4403, '1NFx9FETuduha8qJ6ehPYufTqVirB1Jf1D', '500.00']
[4404, '16QevA8iAUTDTLXYm2EnArK4dCgQhuQHo5', '500.00']
[4405, '16rec73UgrkyNuu9xwyhSZzuZpBb38QTGE', '500.00']
[4406, '186mQt8JeySxfGaeAt8eWB63XFtLsAPkeG', '500.00']
[4407, '1AWTGncUStas3jR2AQHrTgs7PHhyjDWmAF', '500.00']
[4408, '1E5mp9deVe1npToBneeiLyMuxpM4VuFoUC', '500.00']
[4409, '18eUAX7uDRRGbVsTAY4JPVRAkYZe5CuCYc', '500.00']
[4410, '1Hfc7kreFrppMPTCoKaMB6xS7r2AGwWhpj', '500.00']
[4411, '186QCR3dGF3krDzeqFZ4ibNed8XGUL2AHv', '500.00']
[4412, '1Hfpr7dcydZJsU34QxCmEoLUvSrfbWmHJK', '500.00']
[4413, '1Hm1Bg2VtJosZ656cdnqfb2a4Lv6749nyu', '500.00']
[4414, '1DiZTFtVLEXFBHXify2qThAPkE6dMKViXH', '500.00']
[4415, '17JJUCX9wxQuBUkRpWMAQZ58MyTGRXuqE7', '500.00']
[4416, '1AgrVEo4AZnyydUwgGqF1sacX5iRxDHkuc', '500.00']
[4417, '1Es8mj1BcLKHm8eyhBxLx7KS68edW61RBk', '500.00']
[4418, '1NUzvnnXhm8ezkKRSNSqpKf3339WhdpDCb', '500.00']
[4419, '1ERf7djuaCGE7Dhjm7cd9gLYCaqBpCvE3', '500.00']
[4420, '1HxWA8Qo1xwCnfieqFw5a84gP6o1bUnVCM', '500.00']
[4421, '1HYDz9om9KPM2WEuaPxWRu5ZtxuV4JLGPE', '500.00']
[4422, '1FjKZ7e4tFPGagbiLxnbvvHb1o8Bm8KMPt', '500.00']
[4423, '17fEF2VTryzT3APTYTqKi2SThPai8Tzh7z', '500.00']
[4424, '16FFhhQBHXvZnuWzFPuAuPgADeaNqkdnXi', '500.00']
[4425, '16vRqAJ1wfuFBkVMabKnZHLkeN3uwqjzEa', '500.00']
[4426, '1BXbBDc9zEdDeWWGRvipK7FfbSUcRuLsv8', '500.00']
[4427, '1Cat7nYpvxrb4QoHQeeEEw7H2xNW7sLph2', '500.00']
[4428, '1DXnCCDog6rCfGBrUTFw56jkMRN2J7Evbw', '500.00']
[4429, '1B3BpchGnXDsgDMT92cAGcaQYkvvEHhdag', '500.00']
[4430, '1DUJuHGVT4sa1VMGjfF9YdFnFAEw6NgfC5', '500.00']
[4431, '18v45sFpTrGRNMW34PooFYcnqhULUS7AeN', '500.00']
[4432, '17gTyoPWeiaMBQxZnszrjnJyjBtw3uW6vq', '500.00']
[4433, '18TExPoeCKud3H71fGPNJ54TVuNp2q8VV9', '500.00']
[4434, '1BzLthzjnW1uKNvvyS299Y2FbqXm3Cv7Y', '500.00']
[4435, '1CWCrnNi3kWwjvVzsF9LSyJVV9gdp1KYGM', '500.00']
[4436, '1737CMveZDmZLMocHJNFE3zJrcgMjkt5WV', '500.00']
[4437, '1HhchdRdUcmgvkEfb2gYZJ2TgAtjTiPJNX', '500.00']
[4438, '1CjDQitoqgm7wKhF3pZDBzAsq4Jbz9r2LT', '500.00']
[4439, '1P6RsTx2iW32SapV9Y63z5M4LW2KE2TtPE', '500.00']
[4440, '1CoG8tAfg2cQXhWptGRjTEpiAkYgU3xYvY', '500.00']
[4441, '1DpEqg8kYPpzgnzMNLNSH2otAfiNqwhozX', '500.00']
[4442, '1GWvNXZtdFkMngrmzZ762RLy3KqDSne7He', '500.00']
[4443, '1BgcMqFN95HALoBAqKa5WKdnr949N2cN5k', '500.00']
[4444, '1NDGiSRszNRwprNwTzUQnKD8rqGjgeGxw6', '500.00']
[4445, '1FXV3LsnP1HGaUsBxFK5SjWk2hftbS74mb', '500.00']
[4446, '1CTdZjxS9UvSLT1zuMMmVRhjeX4cWz9PQ4', '500.00']
[4447, '1KP7X8W77P4r2PjZiFk32nj622saiTpvu9', '500.00']
[4448, '13swYuDgiC8CdsTbmj2otWLwGVfyJC9Hr7', '500.00']
[4449, '3A8ik95twUmczyPXBD1xdgu6apnJvRBuPD', '500.00']
[4450, '14tXU1MFhG6oxKTHo5dR4P89RaNoTPnxpS', '500.00']
[4451, '1FNF2m8DgQ1g875V67JfmEW8BTYvYBsEYz', '500.00']
[4452, '1GpdNFU43iaLGnH3iVCwdDQpn1fKa4nMUE', '500.00']
[4453, '1FuRRa4Zr5HPDzo3xfXmfREtJb7b7Fayqb', '500.00']
[4454, '1PChftZEh72y1iKQ62pcp4SP7ezSsomu4A', '500.00']
[4455, '14NUT4UgszVhfez9rqU77pW9FK5nRB6RJA', '500.00']
[4456, '1PxTxthNQsZBqaanC3PNhNyi8v5MSCdjsy', '500.00']
[4457, '1NsxEqdom7nNPRyzuCNzDPQg1t7SumCyC9', '500.00']
[4458, '1KkbpZJxDwFHHqGMbjUHNyXsDDG6XEY48p', '500.00']
[4459, '1LeAyqLBZBmsWU98ConsP8ALba4RcV1QoY', '500.00']
[4460, '1GNee6ruuJXAAmpiQqTQmS5tbZ7tM2xaEF', '500.00']
[4461, '1NL8AphGnYCYywPhfWu73ofPeAQYh9pJmH', '500.00']
[4462, '1GDSxQ6DxF4XpK2KRo8UwfcoHbvhtXoHGt', '500.00']
[4463, '1FXgzVcDLbj99mwbsEdQQcgNGQ921bbPed', '500.00']
[4464, '1FktDAErE6manniqGrNvayWKCHAjTdeMyM', '500.00']
[4465, '1FEm45y8TMkR1CQmgKnhXEfdRNCnPbM4Gq', '500.00']
[4466, '3GxnfkYChU839HQiJwQmjx8D5kzdBZDqtK', '500.00']
[4467, '3GqP4sdhLSiUHsLr8nWWrAu7uRtDj4Ubqp', '500.00']
[4468, '38AxbrnxCCed8Kz6A1qMWX7RTwzsE5ZWqh', '500.00']
[4469, '1LLqLxyWzwDxzJY5qeT5RwYw3fddNGemSD', '500.00']
[4470, '1JYJjsKYtRhRZJwLSvttXxXGfmrzRQJrB7', '500.00']
[4471, '1Jjaa4FKMawtNLj9B69acykfrmXTfRTRLU', '500.00']
[4472, '19fYgfeqKTueUFpPsTP2rUXqZrtY7f6gh1', '500.00']
[4473, '1GPWQv8tUJrYR778LKeuGBM1JFNJWcrNe2', '500.00']
[4474, '1JUGvNX4MRm1RgCrYfEfUAoi4ZQEpLAHNm', '500.00']
[4475, '3NbsUvj7F4Fkmn3BHPJ215P9GT8rdEJ3Ex', '500.00']
[4476, '39SU9MckZWVu4LtGQhHA1yeqLKq1JbCKpq', '500.00']
[4477, '1FFdwYdCVMbYEFS35efPVRo7DitoR1KsdL', '500.00']
[4478, '1JXJQHM2vqYdERY28TmV28DMNN47KoxtR6', '500.00']
[4479, '15k5AdHqAF6U6aVsobtmbZC7x1MWUZQZSZ', '500.00']
[4480, '1JPgURmYTqNxk2pXUGW5WGado5FxtJG1Dw', '500.00']
[4481, '15PePpz57bzWETXxM2CciwHtrxYtGr7Xmc', '500.00']
[4482, '3Ntay7A9NQFD4eqPuLCwzh1bTYzFocBGGQ', '500.00']
[4483, '3FamVQU9QMTg699ssnb5mGzs7PMVreyiNn', '500.00']
[4484, '38pxkbBxDbTmg3WvMdPfRgEMvqBHcWirAs', '500.00']
[4485, '137g1KFDxJfMSzvLMMoyhfp3GLLM34Zi9Y', '500.00']
[4486, '1Nf6XFz6cTP2aFieWBj4R87WuWK86xpUKw', '500.00']
[4487, '1LFX2n2SbAG4rAhVEc5oKrAEcPy78vVUMc', '500.00']
[4488, '1GpkU4ZqvdiPHhJ3SBiYNbo4eFaDbTui9a', '500.00']
[4489, '1HnVSXAMkCUHD8EeRxnNXXB6B12oQ9URpV', '500.00']
[4490, '19zVqSNTNyEwuQ64uNFYAHFsutKNMzzYdH', '500.00']
[4491, '1Dm9W1TQN6jy43iTfTyDXFK9hBwd9DYSzo', '500.00']
[4492, '1LzEEHS8LNAgPZ4iTFgr8vpM5U8hiH9URS', '500.00']
[4493, '1MBGSvN8xG72F3carTuardw2JLSdmoZq3p', '500.00']
[4494, '1Kn3hUSL57faTQ6oKs9e1WsthbK8QAfiqR', '500.00']
[4495, '1FkrdKtkAf3Qzn46ZPaNiFuHM8SrPD8CcG', '500.00']
[4496, '1LQrr38N4HnvxFxSiN4kjzMa9ytJMhxmyT', '500.00']
[4497, '3ADduXbbAQoEiv6A1SnKcezJyjBASHxM7M', '500.00']
[4498, '3AzFjjGSkwytfJeNMEHwATnYwNAJPkRL8m', '500.00']
[4499, '39iVqf3dR4xve6E25dkkFzWe8D2TrGEixT', '500.00']
[4500, '3Dk65sdBwkB5ojLwp36peCcE16yPbFpJQu', '500.00']
